message_id,action,message_type,reason,confidence,evidence_message_ids
msg_023,mute,scam,Message demands urgent payment or QR scan; muted for safety.,0.87,none
msg_091,mute,scam,"Message requests OTP, PIN, or password verification; muted for safety.",0.9,message_0381;message_0238
msg_090,digest,personal,No strong urgency or risk signal; personal message defaulted to digest.,0.6,none
msg_048,mute,scam,Message demands urgent payment or QR scan; muted for safety.,0.87,message_0152;message_0151;message_0237
msg_040,mute,spam,Repeated chain-forward pattern (forwarded 7 times).,0.85,message_0136;message_0135
msg_075,notify,business_update,Verified business update relevant to the user.,0.75,message_0206;message_0205
msg_005,digest,unknown,User typically engages with messages like this; not urgent enough to interrupt.,0.72,message_0390;message_0332;message_0114
msg_104,mute,personal,User has consistently dismissed or muted similar messages from this sender/business/group.,0.82,message_0115;message_0232;message_0050
msg_069,mute,spam,Repeated chain-forward pattern (forwarded 11 times).,0.85,message_0194;message_0193;message_0247
msg_107,mute,scam,Message attempts to override routing instructions; muted for safety.,0.93,message_0173;message_0174
msg_070,mute,scam,"Message requests OTP, PIN, or password verification; muted for safety.",0.9,message_0173;message_0174
msg_003,notify,business_update,Message shows strong urgency signals (verified_transactional_business).,0.85,message_0031;message_0267;message_0400
msg_099,digest,personal,User typically engages with messages like this; not urgent enough to interrupt.,0.72,message_0055;message_0249;message_0228
msg_008,digest,business_update,User typically engages with messages like this; not urgent enough to interrupt.,0.72,message_0072;message_0071;message_0296
msg_092,digest,payment,No strong signal either way; defaulting to digest based on conversation context.,0.6,none
msg_060,digest,unknown,User typically engages with messages like this; not urgent enough to interrupt.,0.72,message_0176;message_0404;message_0284
msg_004,notify,business_update,Verified business update relevant to the user.,0.75,message_0245;message_0064;message_0063
msg_030,mute,unknown,User has consistently dismissed or muted similar messages from this sender/business/group.,0.82,message_0115;message_0232;message_0050
msg_045,digest,unknown,User typically engages with messages like this; not urgent enough to interrupt.,0.72,message_0146;message_0145
msg_052,mute,scam,Sender domain does not match the business's official domain.,0.9,message_0208;message_0207;message_0160
msg_009,digest,unknown,User typically engages with messages like this; not urgent enough to interrupt.,0.72,message_0074;message_0073
msg_071,digest,unknown,User typically engages with messages like this; not urgent enough to interrupt.,0.72,message_0197;message_0198
msg_016,mute,unknown,User has consistently dismissed or muted similar messages from this sender/business/group.,0.82,message_0087;message_0184;message_0088
msg_065,digest,business_update,User typically engages with messages like this; not urgent enough to interrupt.,0.72,message_0186;message_0185;message_0261
msg_038,mute,spam,Repeated chain-forward pattern (forwarded 10 times).,0.85,message_0131;message_0132
msg_086,mute,scam,Sender domain does not match the business's official domain.,0.9,none
msg_014,mute,promotion,User has opted out of promotional messages from this business.,0.82,message_0017;message_0084;message_0083
msg_094,notify,promotion,Verified business update relevant to the user.,0.75,none
msg_029,digest,forward,User typically engages with messages like this; not urgent enough to interrupt.,0.72,message_0390;message_0332;message_0114
msg_105,mute,forward,User has consistently dismissed or muted similar messages from this sender/business/group.,0.82,message_0233;message_0373
msg_002,digest,event,User typically engages with messages like this; not urgent enough to interrupt.,0.72,message_0371;message_0230;message_0170
msg_010,digest,business_update,User typically engages with messages like this; not urgent enough to interrupt.,0.72,message_0011;message_0242;message_0076
msg_078,mute,scam,Message demands urgent payment or QR scan; muted for safety.,0.87,message_0212;message_0211
msg_013,mute,unknown,User has consistently dismissed or muted similar messages from this sender/business/group.,0.82,message_0082;message_0081
msg_018,mute,forward,User has consistently dismissed or muted similar messages from this sender/business/group.,0.82,message_0092;message_0091
msg_044,mute,scam,"Message requests OTP, PIN, or password verification; muted for safety.",0.9,message_0144;message_0143
msg_032,digest,unknown,User typically engages with messages like this; not urgent enough to interrupt.,0.72,message_0374;message_0285;message_0120
msg_106,digest,personal,User typically engages with messages like this; not urgent enough to interrupt.,0.72,message_0234;message_0377;message_0376
